75,10,전공
236,13,일반
317,43,전공
69,72,교양
105,90,전공
330,71,일반
183,93,일반
202,61,일반
89,4,전공
193,41,전공
305,44,교양
114,33,전공
215,3,전공
95,97,전공
209,34,전공
228,91,전공
14,42,일반
272,80,일반
19,96,전공
259,7,일반
211,83,전공
310,73,일반
263,24,교양
89,84,전공
286,62,교양
37,53,일반
22,29,일반
56,1,일반
218,97,교양
139,74,일반
132,0,교양
197,22,교양
119,70,교양
108,12,일반
27,11,전공
259,76,전공
116,58,전공
181,14,교양
206,4,전공
29,65,교양
335,16,일반
192,29,일반
29,26,교양
203,26,교양
173,22,일반
289,39,교양
211,94,교양
163,24,교양
112,41,일반
49,49,일반
81,72,전공
86,44,교양
61,100,전공
249,2,일반
167,66,일반
315,16,일반
154,53,교양
233,92,일반
259,45,교양
273,69,전공
230,44,전공
101,64,전공
11,23,일반
150,11,전공
45,19,전공
173,39,일반
34,64,교양
126,75,전공
332,65,교양
51,49,교양
257,79,전공
311,39,일반
167,25,전공
276,41,일반
262,74,일반
136,49,일반
90,63,교양
11,98,일반
13,39,교양
177,74,일반
241,7,교양
175,23,교양
84,16,교양
53,63,전공
112,45,일반
75,12,교양
175,64,일반
231,37,교양
237,53,교양
118,31,교양
125,64,전공
203,76,일반
165,49,전공
7,30,전공
273,13,일반
43,22,일반
25,64,교양
100,84,교양
321,56,일반
313,60,일반
235,45,교양
216,42,전공
165,65,전공
302,27,일반
5,14,교양
270,66,전공
83,46,전공
125,58,전공
261,53,전공
250,25,일반
138,78,교양
227,23,교양
301,15,전공
154,15,교양
105,37,교양
125,48,일반
98,40,교양
79,49,일반
171,42,전공
51,83,교양
19,23,교양
320,42,일반
333,28,전공
146,67,교양
277,33,교양
269,88,전공
52,37,전공
88,52,전공
175,59,교양
207,84,교양
314,48,일반
288,51,일반
92,53,전공
265,90,교양
156,65,일반
115,63,교양
29,11,전공
211,15,전공
276,83,일반
116,61,전공
293,93,교양
71,12,전공
6,43,교양
193,23,전공
241,75,교양
211,5,교양
41,39,일반
316,88,전공
93,91,교양
210,66,교양
188,85,전공
126,76,교양
54,86,일반
258,38,교양
321,95,일반
204,24,교양
49,37,일반
22,24,일반
172,68,전공
19,39,일반
61,0,일반
288,53,일반
185,67,전공
238,2,전공
48,97,교양
62,29,교양
202,1,교양
249,27,일반
170,24,교양
236,36,전공
68,45,일반
289,40,전공
104,10,교양
68,26,일반
26,17,일반
293,21,전공
90,68,전공
251,53,교양
42,37,전공
51,32,전공
248,19,전공
99,43,교양
226,62,교양
152,37,전공
195,61,전공
80,27,전공
179,85,전공
128,26,전공
46,100,전공
48,40,일반
42,59,일반
326,67,교양
135,46,교양
318,45,일반
188,32,전공
1,79,전공
275,24,교양
85,59,일반
333,89,전공
88,90,일반
181,28,교양
39,30,교양
116,67,교양
113,47,일반
79,95,교양
103,82,일반
177,89,전공
192,87,전공
256,21,전공
88,4,교양
96,4,교양
319,98,교양
136,94,전공
331,56,일반
153,29,일반
219,36,일반
111,49,교양
57,95,전공
77,9,일반
71,27,교양
303,5,일반
130,17,일반
8,89,일반
145,64,교양
330,18,전공
170,28,전공
187,73,교양
114,79,교양
41,48,일반
246,81,전공
325,22,일반
234,27,일반
14,55,교양
80,97,전공
56,1,교양
98,99,교양
75,91,전공
127,87,전공
197,84,일반
177,24,일반
326,34,전공
277,33,전공
170,13,교양
138,26,전공
95,63,전공
39,17,일반
155,67,교양
24,8,교양
308,84,전공
122,96,일반
317,77,전공
180,99,일반
11,69,교양
214,86,교양
270,50,교양
277,80,교양
245,2,전공
28,80,일반
18,4,전공
331,37,교양
29,83,일반
334,8,교양
28,3,교양
318,68,교양
96,17,전공
112,63,교양
96,27,전공
313,15,일반
154,29,전공
133,53,교양
226,27,교양
84,24,전공
108,91,교양
237,45,전공
35,56,전공
8,21,전공
108,66,교양
152,51,일반
133,43,일반
309,53,일반
104,77,일반
332,62,전공
280,39,일반
94,24,일반
73,24,전공
125,5,일반
276,42,교양
292,80,전공
115,34,전공
37,74,전공
257,69,교양
73,80,전공
127,68,전공
114,100,일반
153,71,교양
309,9,일반
184,73,전공
281,12,전공
108,40,교양
333,33,교양
259,31,전공
86,16,전공
248,33,전공
178,29,전공
187,60,교양
96,2,교양
137,36,전공
181,75,일반
73,67,교양
326,78,일반
31,36,일반
195,94,교양
254,71,일반
61,80,일반
319,22,전공
1,55,일반
204,78,일반
5,50,교양
309,26,교양
227,18,일반
180,99,전공
252,62,교양
188,94,전공
38,51,교양
336,43,교양
314,36,일반
330,4,전공
118,35,교양
146,41,교양
1,56,전공
3,47,교양
135,64,전공
109,81,일반
160,85,일반
118,16,전공
199,56,일반
153,3,교양
244,64,일반
142,43,전공
303,25,교양
286,32,교양
251,49,일반
223,49,전공
83,20,일반
318,74,교양
272,57,전공
315,49,일반
131,28,전공
274,53,전공
145,66,일반
104,22,일반
304,89,일반
80,36,교양
29,98,교양
46,56,교양
66,91,교양
279,6,전공
151,23,전공
129,94,전공
189,79,전공
231,41,교양
49,45,교양
321,61,전공
182,45,전공
199,28,교양
309,65,일반
152,28,교양
23,47,교양
65,36,일반
8,51,교양
2,98,교양
123,34,교양
218,45,교양
237,55,일반
252,44,전공
228,72,전공
119,20,교양
266,63,일반
148,44,전공
207,31,교양
228,0,전공
197,20,일반
287,93,일반
65,2,일반
99,46,일반
287,10,전공
326,32,전공
202,29,전공
188,93,교양
111,11,일반
101,53,교양
118,91,일반
335,53,전공
216,79,일반
326,36,교양
237,54,일반
326,39,교양
155,56,일반
299,38,전공
287,40,일반
161,52,전공
314,54,일반
172,84,일반
110,21,교양
310,37,교양
94,56,전공
296,55,일반
284,14,일반
307,11,전공
204,14,전공
200,23,일반
3,87,일반
188,93,전공
86,2,일반
185,73,일반
223,72,일반
210,10,교양
30,49,전공
27,83,교양
148,18,일반
59,69,일반
48,26,전공
296,4,교양
45,64,교양
199,69,전공
286,62,교양
158,13,교양
202,18,전공
26,38,전공
294,43,전공
145,88,전공
213,55,전공
157,13,교양
188,68,일반
275,62,교양
255,59,교양
41,82,일반
113,7,전공
281,7,전공
76,93,전공
262,71,전공
73,68,교양
155,37,일반
311,75,교양
157,23,전공
184,92,일반
172,49,일반
264,16,일반
269,88,교양
85,86,일반
38,80,일반
271,45,전공
148,94,전공
259,36,교양
275,36,일반
100,42,전공
49,24,교양
314,40,전공
121,49,교양
209,37,전공
58,7,교양
99,73,교양
290,90,일반
146,75,교양
94,92,전공
328,34,전공
2,86,일반
101,96,일반
152,62,전공
67,35,교양
251,91,전공
208,87,교양
171,99,전공
324,91,교양
79,20,교양
269,71,교양
122,21,전공
41,62,전공
201,84,교양
62,96,일반
21,99,교양
278,90,교양
253,41,일반
193,88,일반
154,50,전공
106,31,전공
157,86,전공
31,74,전공
255,3,전공
159,89,일반
36,51,일반
328,59,전공
3,30,일반
277,2,일반
225,26,교양
1,64,교양
305,8,전공
185,59,교양
16,72,교양
220,86,교양
327,3,일반
183,6,일반
188,69,전공
290,85,교양
28,43,전공
188,49,일반
193,46,전공
37,88,전공
103,13,일반
323,34,교양
228,67,교양
206,67,일반
74,25,교양
311,53,전공
121,88,교양
247,37,일반
325,3,일반
252,77,전공
336,98,교양
276,11,교양
2,82,교양
17,98,교양
207,92,일반
128,89,일반
194,2,일반
254,40,교양
59,8,일반
7,29,일반
134,12,전공
268,50,전공
230,26,전공
210,66,일반
48,20,교양
101,56,일반
122,77,전공
89,89,전공
234,7,교양
218,78,일반
202,9,일반
240,4,교양
157,10,전공
109,77,전공
16,55,전공
230,84,전공
169,62,일반
296,32,교양
138,81,일반
48,42,전공
125,27,전공
198,42,교양
186,86,교양
98,41,일반
2,4,일반
70,10,교양
294,80,교양
218,72,전공
20,67,전공
242,63,교양
112,9,일반
197,64,교양
44,24,일반
104,97,전공
241,47,일반
101,49,일반
164,27,전공
251,81,일반
241,16,교양
228,62,전공
135,17,전공
93,86,교양
9,90,전공
241,55,일반
166,28,전공
145,29,전공
19,52,일반
10,93,교양
165,2,일반
20,45,교양
280,28,교양
128,53,전공
212,83,교양
263,51,전공
47,90,교양
104,82,전공
214,100,일반
1,21,교양
67,95,교양
76,5,일반
303,35,일반
322,70,전공
235,74,일반
149,79,일반
229,45,일반
56,38,일반
269,31,일반
113,15,전공
293,49,일반
210,80,교양
232,1,교양
52,47,교양
270,75,교양
309,71,일반
65,10,전공
259,75,교양
296,94,전공
133,26,전공
37,1,일반
236,45,일반
250,73,전공
194,16,교양
135,8,일반
9,27,일반
257,14,전공
53,60,일반
42,91,전공
269,33,교양
174,41,일반
168,58,일반
97,1,일반
90,15,교양
207,93,교양
34,32,전공
212,74,전공
164,99,전공
149,77,전공
293,71,교양
102,44,일반
155,15,전공
335,85,일반
86,58,교양
308,52,교양
84,98,일반
246,2,교양
309,85,일반
180,94,교양
65,2,교양
78,48,교양
158,57,일반
155,58,교양
205,1,전공
21,52,교양
115,10,전공
245,46,교양
42,36,전공
5,45,전공
7,25,일반
45,24,일반
165,30,교양
240,91,전공
133,21,전공
96,48,교양
183,37,전공
107,51,전공
52,28,일반
134,1,일반
267,100,일반
150,75,전공
89,11,전공
258,19,일반
214,83,전공
262,53,교양
283,17,교양
235,93,교양
92,13,일반
181,82,일반
111,99,일반
141,75,전공
172,86,교양
259,65,일반
241,86,교양
70,4,교양
41,75,전공
306,70,일반
199,91,전공
245,26,교양
175,91,전공
174,85,교양
88,55,전공
34,28,전공
290,19,일반
149,48,교양
266,25,일반
55,61,일반
283,64,일반
181,53,교양
85,67,일반
263,9,교양
106,43,일반
329,14,전공
99,50,교양
302,84,교양
18,31,교양
169,8,일반
193,36,교양
146,94,교양
2,11,교양
34,81,교양
268,58,일반
18,74,전공
67,77,교양
106,10,교양
264,90,교양
51,79,일반
246,17,교양
82,26,일반
22,48,전공
168,22,전공
336,46,전공
180,88,일반
39,76,일반
32,14,전공
232,59,교양
12,72,전공
192,57,교양
41,52,전공
225,57,일반
330,21,교양
16,19,교양
292,69,일반
94,54,교양
32,10,교양
71,11,전공
161,10,교양
60,26,일반
232,86,교양
85,24,교양
155,31,교양
190,59,교양
40,41,일반
127,59,일반
65,84,전공
41,44,전공
48,31,일반
71,1,교양
166,97,일반
102,33,일반
69,33,전공
209,17,일반
88,24,전공
187,30,일반
13,46,교양
141,17,전공
309,56,교양
174,90,교양
94,7,교양
318,18,전공
303,22,교양
304,29,일반
28,1,전공
328,10,전공
90,98,전공
192,12,교양
183,31,교양
155,89,교양
176,48,교양
49,34,교양
291,81,교양
241,79,일반
214,37,일반
148,48,전공
237,84,일반
264,65,일반
179,85,전공
304,27,전공
146,89,일반
117,50,교양
303,4,일반
244,17,교양
33,80,전공
335,0,교양
287,100,교양
193,52,교양
139,32,교양
175,80,교양
326,12,일반
207,23,일반
142,89,전공
132,0,일반
234,51,교양
59,70,일반
260,36,교양
62,37,전공
34,94,일반
78,76,교양
168,77,일반
136,61,일반
330,9,교양
143,0,일반
10,24,교양
46,49,일반
155,74,교양
195,46,일반
313,18,일반
53,72,일반
235,99,일반
153,84,교양
63,6,일반
12,10,전공
261,56,일반
148,43,일반
278,18,전공
230,50,교양
90,25,교양
89,88,교양
60,36,전공
173,89,교양
87,85,교양
234,95,일반
292,45,교양
74,55,교양
235,14,일반
48,8,일반
231,87,일반
183,10,일반
267,35,일반
307,81,교양
332,66,일반
326,20,전공
7,87,전공
39,50,일반
78,4,일반
234,15,전공
139,40,전공
113,77,전공
150,46,전공
332,11,일반
120,32,전공
243,87,전공
83,30,전공
66,43,일반
60,99,전공
139,73,교양
210,56,일반
32,2,전공
226,67,전공
17,22,일반
313,61,전공
329,24,교양
70,7,교양
92,66,일반
274,10,교양
168,29,일반
126,66,전공
58,94,교양
247,99,교양
23,63,전공
256,96,전공
278,10,일반
89,94,교양
15,52,일반
278,52,전공
269,26,교양
58,32,전공
215,94,일반
305,15,전공
